Timestamp,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Load","GPU Temp"
17/12/2020 20:56:11 PM,80.60°F,82.40°F,82.40°F,82.40°F,82.40°F,15%,104.00°F
17/12/2020 20:56:16 PM,82.40°F,84.20°F,82.40°F,80.60°F,86.00°F,18%,104.00°F
17/12/2020 20:56:21 PM,82.40°F,82.40°F,80.60°F,80.60°F,84.20°F,10%,104.00°F
17/12/2020 20:56:26 PM,82.40°F,82.40°F,80.60°F,80.60°F,82.40°F,13%,102.20°F
17/12/2020 20:56:31 PM,82.40°F,80.60°F,80.60°F,84.20°F,82.40°F,13%,104.00°F
17/12/2020 20:56:36 PM,82.40°F,80.60°F,80.60°F,80.60°F,84.20°F,16%,102.20°F
17/12/2020 20:56:41 PM,82.40°F,84.20°F,86.00°F,80.60°F,86.00°F,13%,102.20°F
17/12/2020 20:56:46 PM,82.40°F,80.60°F,80.60°F,82.40°F,84.20°F,17%,104.00°F
17/12/2020 20:56:51 PM,82.40°F,80.60°F,78.80°F,82.40°F,82.40°F,18%,104.00°F
17/12/2020 20:56:56 PM,84.20°F,82.40°F,82.40°F,80.60°F,86.00°F,13%,102.20°F
17/12/2020 20:57:01 PM,82.40°F,80.60°F,82.40°F,80.60°F,84.20°F,16%,104.00°F
17/12/2020 20:57:06 PM,86.00°F,82.40°F,82.40°F,82.40°F,82.40°F,20%,102.20°F
17/12/2020 20:57:11 PM,80.60°F,84.20°F,82.40°F,78.80°F,82.40°F,14%,102.20°F
17/12/2020 20:57:16 PM,82.40°F,80.60°F,82.40°F,80.60°F,82.40°F,12%,104.00°F
17/12/2020 20:57:21 PM,80.60°F,82.40°F,80.60°F,77.00°F,82.40°F,17%,102.20°F
17/12/2020 20:57:26 PM,80.60°F,80.60°F,78.80°F,80.60°F,82.40°F,14%,102.20°F
17/12/2020 20:57:31 PM,80.60°F,80.60°F,78.80°F,80.60°F,82.40°F,16%,104.00°F
17/12/2020 20:57:36 PM,82.40°F,84.20°F,80.60°F,80.60°F,82.40°F,15%,102.20°F
17/12/2020 20:57:41 PM,78.80°F,82.40°F,80.60°F,82.40°F,82.40°F,13%,102.20°F
17/12/2020 20:57:46 PM,89.60°F,82.40°F,84.20°F,84.20°F,84.20°F,27%,102.20°F
17/12/2020 20:57:51 PM,82.40°F,84.20°F,86.00°F,80.60°F,87.80°F,22%,102.20°F
17/12/2020 20:57:56 PM,82.40°F,84.20°F,80.60°F,82.40°F,87.80°F,13%,102.20°F
17/12/2020 20:58:01 PM,84.20°F,87.80°F,89.60°F,87.80°F,89.60°F,31%,104.00°F
17/12/2020 20:58:06 PM,86.00°F,87.80°F,87.80°F,87.80°F,89.60°F,20%,102.20°F
17/12/2020 20:58:11 PM,87.80°F,87.80°F,89.60°F,84.20°F,89.60°F,24%,102.20°F
17/12/2020 20:58:16 PM,104.00°F,95.00°F,95.00°F,91.40°F,96.80°F,39%,102.20°F
